system:index,consistent_change,current_state,first,latitude,lc_change_to_another_neighbors,lc_consistent_change_one_year_neighbors,lc_consistent_change_two_years_neighbors,lc_reverse_neighbors,longitude,no_lc_change_neighbors,one_lc_change_neighbors,year,year_after_state,.geo
30_590,0,2,1.0,-9.500896855197496,0.0,1.0,1.0,0.0,-44.43655791766253,7.0,1.0,2015,3,"{""type"":""Point"",""coordinates"":[-44.43655791766253,-9.500896855197496]}"
30_591,0,1,0.0,-13.07655101210684,0.0,0.0,0.0,0.0,-51.75899529310599,8.0,0.0,2015,3,"{""type"":""Point"",""coordinates"":[-51.75899529310599,-13.07655101210684]}"
30_592,0,3,0.0,-24.620351570684747,0.0,0.0,0.0,5.0,-53.97828320252327,3.0,5.0,2015,1,"{""type"":""Point"",""coordinates"":[-53.97828320252327,-24.620351570684747]}"
30_593,0,1,1.0,-8.775956420913044,0.0,1.0,1.0,2.0,-48.13186767041661,5.0,3.0,2015,3,"{""type"":""Point"",""coordinates"":[-48.13186767041661,-8.775956420913044]}"
30_597,0,3,0.0,-5.548489268128429,0.0,0.0,0.0,3.0,-44.04147885570678,5.0,3.0,2015,1,"{""type"":""Point"",""coordinates"":[-44.04147885570678,-5.548489268128429]}"
30_598,0,1,3.0,-0.6423403439096624,0.0,3.0,3.0,0.0,-52.3971584709445,5.0,3.0,2015,3,"{""type"":""Point"",""coordinates"":[-52.3971584709445,-0.6423403439096624]}"
30_599,0,1,3.0,-9.795184942275053,0.0,3.0,3.0,0.0,-64.0994218456411,5.0,3.0,2015,3,"{""type"":""Point"",""coordinates"":[-64.0994218456411,-9.795184942275053]}"
30_600,0,1,1.0,-2.274669046683244,0.0,1.0,1.0,0.0,-46.8827602678484,7.0,1.0,2015,3,"{""type"":""Point"",""coordinates"":[-46.8827602678484,-2.274669046683244]}"
30_602,0,1,0.0,-4.8917309639086435,4.0,0.0,0.0,0.0,-40.230016936716055,4.0,4.0,2015,2,"{""type"":""Point"",""coordinates"":[-40.230016936716055,-4.8917309639086435]}"
30_603,0,1,0.0,-8.938731150395501,0.0,0.0,0.0,0.0,-64.48965000506261,8.0,0.0,2015,3,"{""type"":""Point"",""coordinates"":[-64.48965000506261,-8.938731150395501]}"
30_604,0,1,4.0,-2.063115797273096,0.0,4.0,4.0,0.0,-50.52282363062912,4.0,4.0,2015,2,"{""type"":""Point"",""coordinates"":[-50.52282363062912,-2.063115797273096]}"
30_605,0,1,8.0,-2.774312007710523,0.0,8.0,8.0,0.0,-55.610881399882096,0.0,8.0,2015,3,"{""type"":""Point"",""coordinates"":[-55.610881399882096,-2.774312007710523]}"
30_606,0,1,0.0,-9.976285303553553,8.0,0.0,0.0,0.0,-48.1642070206449,0.0,8.0,2015,3,"{""type"":""Point"",""coordinates"":[-48.1642070206449,-9.976285303553553]}"
30_608,0,1,0.0,-15.852884229206635,0.0,0.0,0.0,0.0,-59.48297960055087,8.0,0.0,2015,3,"{""type"":""Point"",""coordinates"":[-59.48297960055087,-15.852884229206635]}"
30_610,0,3,4.0,-26.24648189799791,0.0,4.0,4.0,1.0,-51.034324353406774,3.0,5.0,2015,4,"{""type"":""Point"",""coordinates"":[-51.034324353406774,-26.24648189799791]}"
30_611,0,1,0.0,-3.469338543033796,0.0,0.0,0.0,5.0,-42.055573257103745,3.0,5.0,2015,3,"{""type"":""Point"",""coordinates"":[-42.055573257103745,-3.469338543033796]}"
30_613,0,1,1.0,-12.330859494759224,4.0,1.0,1.0,0.0,-43.332438601951225,3.0,5.0,2015,4,"{""type"":""Point"",""coordinates"":[-43.332438601951225,-12.330859494759224]}"
30_616,0,2,2.0,-9.962271585121284,0.0,2.0,2.0,0.0,-45.212432828556565,6.0,2.0,2015,3,"{""type"":""Point"",""coordinates"":[-45.212432828556565,-9.962271585121284]}"
30_617,0,2,1.0,-9.831027722111422,0.0,1.0,1.0,0.0,-45.28762181783738,7.0,1.0,2015,3,"{""type"":""Point"",""coordinates"":[-45.28762181783738,-9.831027722111422]}"
30_621,0,3,2.0,-22.412651928432613,1.0,2.0,2.0,0.0,-49.2074205600929,5.0,3.0,2015,2,"{""type"":""Point"",""coordinates"":[-49.2074205600929,-22.412651928432613]}"
30_622,0,1,5.0,-3.3243504561769064,0.0,5.0,5.0,0.0,-59.36278501553568,3.0,5.0,2015,3,"{""type"":""Point"",""coordinates"":[-59.36278501553568,-3.3243504561769064]}"
30_623,0,3,2.0,-22.49996817404903,0.0,2.0,2.0,6.0,-49.67310720338046,0.0,8.0,2015,4,"{""type"":""Point"",""coordinates"":[-49.67310720338046,-22.49996817404903]}"
30_624,0,1,2.0,-16.90014018743317,0.0,2.0,2.0,0.0,-45.54445015756714,6.0,2.0,2015,3,"{""type"":""Point"",""coordinates"":[-45.54445015756714,-16.90014018743317]}"
30_627,0,1,8.0,1.1724361930685951,0.0,8.0,8.0,0.0,-60.84446624516242,0.0,8.0,2015,3,"{""type"":""Point"",""coordinates"":[-60.84446624516242,1.1724361930685951]}"
30_628,0,1,0.0,-13.985017258936914,7.0,0.0,0.0,0.0,-59.577841694553896,1.0,7.0,2015,3,"{""type"":""Point"",""coordinates"":[-59.577841694553896,-13.985017258936914]}"
