system:index,consistent_change,current_state,first,latitude,lc_change_to_another_neighbors,lc_consistent_change_one_year_neighbors,lc_consistent_change_two_years_neighbors,lc_reverse_neighbors,longitude,no_lc_change_neighbors,one_lc_change_neighbors,year,year_after_state,.geo
16_44,1,1,8.0,-16.534705529853348,0.0,8.0,8.0,0.0,-56.336899812507475,0.0,8.0,2001,2,"{""type"":""Point"",""coordinates"":[-56.336899812507475,-16.534705529853348]}"
16_54,1,3,7.0,-27.557303560585108,0.0,7.0,7.0,0.0,-51.49947200752386,1.0,7.0,2001,5,"{""type"":""Point"",""coordinates"":[-51.49947200752386,-27.557303560585108]}"
16_62,1,1,8.0,-11.045639817769427,0.0,8.0,8.0,0.0,-52.7097721898181,0.0,8.0,2001,3,"{""type"":""Point"",""coordinates"":[-52.7097721898181,-11.045639817769427]}"
16_65,1,1,2.0,-10.707424113298426,0.0,2.0,2.0,0.0,-59.375720755627,6.0,2.0,2001,3,"{""type"":""Point"",""coordinates"":[-59.375720755627,-10.707424113298426]}"
16_70,0,1,0.0,-18.131191452790567,0.0,0.0,0.0,1.0,-48.76760539698799,7.0,1.0,2001,3,"{""type"":""Point"",""coordinates"":[-48.76760539698799,-18.131191452790567]}"
16_159,0,1,0.0,-3.732095763638757,0.0,0.0,0.0,5.0,-46.724027957144486,3.0,5.0,2001,5,"{""type"":""Point"",""coordinates"":[-46.724027957144486,-3.732095763638757]}"
16_198,1,3,1.0,-4.016951540233056,0.0,5.0,1.0,0.0,-47.70229330155064,3.0,5.0,2001,1,"{""type"":""Point"",""coordinates"":[-47.70229330155064,-4.016951540233056]}"
16_203,1,1,3.0,-6.301457139277412,0.0,3.0,3.0,0.0,-45.981839869404936,5.0,3.0,2001,2,"{""type"":""Point"",""coordinates"":[-45.981839869404936,-6.301457139277412]}"
16_238,1,3,2.0,-0.2688208487727648,0.0,2.0,2.0,0.0,-49.399839693951314,6.0,2.0,2001,1,"{""type"":""Point"",""coordinates"":[-49.399839693951314,-0.2688208487727648]}"
16_248,1,1,4.0,-5.111099556290633,0.0,4.0,4.0,0.0,-48.37980268883359,4.0,4.0,2001,3,"{""type"":""Point"",""coordinates"":[-48.37980268883359,-5.111099556290633]}"
16_285,0,5,1.0,0.4989692245641901,6.0,2.0,1.0,0.0,-61.2651472927156,0.0,8.0,2001,1,"{""type"":""Point"",""coordinates"":[-61.2651472927156,0.4989692245641901]}"
16_316,1,3,3.0,-12.481506967906068,0.0,4.0,3.0,0.0,-42.074168383485016,4.0,4.0,2001,2,"{""type"":""Point"",""coordinates"":[-42.074168383485016,-12.481506967906068]}"
16_325,1,1,1.0,-17.639094340149892,0.0,1.0,1.0,0.0,-46.22088156650914,7.0,1.0,2001,3,"{""type"":""Point"",""coordinates"":[-46.22088156650914,-17.639094340149892]}"
16_351,1,3,1.0,-11.468746316589725,0.0,1.0,1.0,0.0,-41.42037451970283,7.0,1.0,2001,1,"{""type"":""Point"",""coordinates"":[-41.42037451970283,-11.468746316589725]}"
16_359,1,1,8.0,-10.08354414847742,0.0,8.0,8.0,0.0,-51.54825052745154,0.0,8.0,2001,3,"{""type"":""Point"",""coordinates"":[-51.54825052745154,-10.08354414847742]}"
